sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;Profile 1;Profile 2
0.018;13;;100rounds;Yes;No;2;0.68524;0.75500;0.12667;0.24517;1.44024;ConcederNegotiationParty@0;ConcederNegotiationParty@1;0.755;0.6852359027985925;0.755;0.6852359027985925;0.755;0.6852359027985925;party1_utility.xml;party2_utility.xml
0.039;48;;100rounds;Yes;No;2;0.49465;0.97500;0.00000;0.47369;1.46965;BoulwareNegotiationParty@2;ConcederNegotiationParty@3;0.975;0.49464690002105177;0.975;0.49464690002105177;0.975;0.49464690002105177;party1_utility.xml;party2_utility.xml
0.049;42;;100rounds;Yes;No;2;0.49465;0.97500;0.00000;0.47369;1.46965;ValueModelAgent@4;ConcederNegotiationParty@5;0.975;0.49464690002105177;0.975;0.49464690002105177;0.0;0.49464690002105177;party1_utility.xml;party2_utility.xml
0.044;52;;100rounds;Yes;No;2;0.29693;1.00000;0.00000;0.66723;1.29693;Gahboninho@6;ConcederNegotiationParty@7;1.0;0.2969260373579895;1.0;0.2969260373579895;0.0;0.2969260373579895;party1_utility.xml;party2_utility.xml
2.052;28;;100rounds;Yes;No;2;0.49465;0.97500;0.00000;0.47369;1.46965;BRAMAgent@8;ConcederNegotiationParty@9;0.975;0.49464690002105177;0.975;0.49464690002105177;0.0;0.49464690002105177;party1_utility.xml;party2_utility.xml
0.044;50;;100rounds;Yes;No;2;0.31340;0.98750;0.00000;0.64764;1.30090;KLH@10;ConcederNegotiationParty@11;0.9874999999999999;0.31340277591324467;0.9874999999999999;0.31340277591324467;0.0;0.31340277591324467;party1_utility.xml;party2_utility.xml
0.360;17;;100rounds;Yes;No;2;0.66621;0.94167;0.00000;0.30558;1.60787;NiceTitForTat@12;ConcederNegotiationParty@13;0.9416666666666667;0.6662075599338653;0.9416666666666667;0.6662075599338653;0.0;0.6662075599338653;party1_utility.xml;party2_utility.xml
0.544;22;;100rounds;Yes;No;2;0.56608;0.84833;0.12343;0.36798;1.41441;IAMhaggler2011@14;ConcederNegotiationParty@15;0.8483333333333335;0.5660814276262008;0.8483333333333335;0.5660814276262008;0.0;0.5660814276262008;party1_utility.xml;party2_utility.xml
0.053;29;;100rounds;Yes;No;2;0.49465;0.97500;0.00000;0.47369;1.46965;Agent_K2@16;ConcederNegotiationParty@17;0.975;0.49464690002105177;0.975;0.49464690002105177;0.0;0.49464690002105177;party1_utility.xml;party2_utility.xml
0.031;28;;100rounds;Yes;No;2;0.49465;0.97500;0.00000;0.47369;1.46965;TheNegotiator@18;ConcederNegotiationParty@19;0.975;0.49464690002105177;0.975;0.49464690002105177;0.0;0.49464690002105177;party1_utility.xml;party2_utility.xml
0.140;14;;100rounds;Yes;No;2;0.66845;0.86917;0.02068;0.27339;1.53762;boa-C..Users.Administrator.eclipse.workspace.masProject.bin.group13.Group13_BS-C..Users.Administrator.eclipse.workspace.masProject.bin.group13.Group13_AS-C..Users.Administrator.eclipse.workspace.masProject.bin.group13.Group13_OM_l-C..Users.Administrator.eclipse.workspace.masProject.bin.group13.Group13_OMS_t@20;ConcederNegotiationParty@21;0.8691666666666665;0.6684535901130682;0.8691666666666665;0.6684535901130682;0.8691666666666665;0.6684535901130682;party1_utility.xml;party2_utility.xml
0.017;14;;100rounds;Yes;No;2;0.65833;1.00000;0.00000;0.14542;1.65833;ConcederNegotiationParty@22;BoulwareNegotiationParty@23;0.6583333333333333;1.0;0.6583333333333333;1.0;0.6583333333333333;1.0;party1_utility.xml;party2_utility.xml
0.058;80;;100rounds;Yes;No;2;0.72500;0.76571;0.15085;0.17356;1.49071;BoulwareNegotiationParty@24;BoulwareNegotiationParty@25;0.7250000000000001;0.7657096808543045;0.7250000000000001;0.7657096808543045;0.7250000000000001;0.7657096808543045;party1_utility.xml;party2_utility.xml
0.075;85;;100rounds;Yes;No;2;0.66621;0.94167;0.00000;0.30558;1.60787;ValueModelAgent@26;BoulwareNegotiationParty@27;0.9416666666666667;0.6662075599338653;0.9416666666666667;0.6662075599338653;0.0;0.6662075599338653;party1_utility.xml;party2_utility.xml
0.076;97;;100rounds;Yes;No;2;0.29693;1.00000;0.00000;0.66723;1.29693;Gahboninho@28;BoulwareNegotiationParty@29;1.0;0.2969260373579895;1.0;0.2969260373579895;0.0;0.2969260373579895;party1_utility.xml;party2_utility.xml
2.112;91;;100rounds;Yes;No;2;0.76209;0.81500;0.06766;0.16915;1.57709;BRAMAgent@30;BoulwareNegotiationParty@31;0.815;0.7620935529492956;0.815;0.7620935529492956;0.0;0.7620935529492956;party1_utility.xml;party2_utility.xml
0.071;92;;100rounds;Yes;No;2;0.48496;0.95417;0.02297;0.47476;1.43913;KLH@32;BoulwareNegotiationParty@33;0.9541666666666666;0.4849634358260582;0.9541666666666666;0.4849634358260582;0.0;0.4849634358260582;party1_utility.xml;party2_utility.xml
1.742;93;;100rounds;Yes;No;2;0.66621;0.94167;0.00000;0.30558;1.60787;NiceTitForTat@34;BoulwareNegotiationParty@35;0.9416666666666667;0.6662075599338653;0.9416666666666667;0.6662075599338653;0.0;0.6662075599338653;party1_utility.xml;party2_utility.xml
1.065;75;;100rounds;Yes;No;2;0.83583;0.84001;0.02068;0.10210;1.67585;IAMhaggler2011@36;BoulwareNegotiationParty@37;0.8358333333333332;0.8400142500258816;0.8358333333333332;0.8400142500258816;0.0;0.8400142500258816;party1_utility.xml;party2_utility.xml
0.140;85;;100rounds;Yes;No;2;0.66398;0.76750;0.11607;0.26517;1.43148;Agent_K2@38;BoulwareNegotiationParty@39;0.7675000000000001;0.6639774745760021;0.7675000000000001;0.6639774745760021;0.0;0.6639774745760021;party1_utility.xml;party2_utility.xml
0.069;84;;100rounds;Yes;No;2;0.68493;0.88167;0.00000;0.26211;1.56660;TheNegotiator@40;BoulwareNegotiationParty@41;0.8816666666666667;0.6849303286683233;0.8816666666666667;0.6849303286683233;0.0;0.6849303286683233;party1_utility.xml;party2_utility.xml
0.707;71;;100rounds;Yes;No;2;0.84833;0.85649;0.00000;0.09595;1.70482;boa-C..Users.Administrator.eclipse.workspace.masProject.bin.group13.Group13_BS-C..Users.Administrator.eclipse.workspace.masProject.bin.group13.Group13_AS-C..Users.Administrator.eclipse.workspace.masProject.bin.group13.Group13_OM_l-C..Users.Administrator.eclipse.workspace.masProject.bin.group13.Group13_OMS_t@42;BoulwareNegotiationParty@43;0.8483333333333334;0.8564909885811369;0.8483333333333334;0.8564909885811369;0.8483333333333334;0.8564909885811369;party1_utility.xml;party2_utility.xml
0.020;15;;100rounds;Yes;No;2;0.64583;0.98352;0.02068;0.14963;1.62936;ConcederNegotiationParty@44;ValueModelAgent@45;0.6458333333333333;0.9835232614447449;0.6458333333333333;0.9835232614447449;0.6458333333333333;0.0;party1_utility.xml;party2_utility.xml
0.070;87;;100rounds;Yes;No;2;0.59500;0.96396;0.07287;0.19327;1.55896;BoulwareNegotiationParty@46;ValueModelAgent@47;0.595;0.9639627580931429;0.595;0.9639627580931429;0.595;0.0;party1_utility.xml;party2_utility.xml
0.109;101;;100rounds;Yes;No;2;0.78500;0.92857;0.00000;0.00000;1.71357;ValueModelAgent@48;ValueModelAgent@49;0.7849999999999999;0.9285654723948509;0.7849999999999999;0.9285654723948509;0.0;0.0;party1_utility.xml;party2_utility.xml
0.112;101;;100rounds;Yes;No;2;0.66621;0.94167;0.00000;0.30558;1.60787;Gahboninho@50;ValueModelAgent@51;0.9416666666666667;0.6662075599338653;0.9416666666666667;0.6662075599338653;0.0;0.0;party1_utility.xml;party2_utility.xml
2.119;100;;100rounds;Yes;No;2;0.78500;0.88030;0.02381;0.04826;1.66530;BRAMAgent@52;ValueModelAgent@53;0.7850000000000001;0.8803024977828533;0.7850000000000001;0.8803024977828533;0.0;0.0;party1_utility.xml;party2_utility.xml
0.096;101;;100rounds;No;No;1;0.00000;0.00000;1.03604;1.21592;0.00000;KLH@54;ValueModelAgent@55;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
1.381;100;;100rounds;Yes;No;2;0.66845;0.86917;0.02068;0.27339;1.53762;NiceTitForTat@56;ValueModelAgent@57;0.8691666666666665;0.6684535901130682;0.8691666666666665;0.6684535901130682;0.0;0.0;party1_utility.xml;party2_utility.xml
1.368;92;;100rounds;Yes;No;2;0.78500;0.90411;0.00000;0.02445;1.68911;IAMhaggler2011@58;ValueModelAgent@59;0.7850000000000001;0.9041140069845697;0.7850000000000001;0.9041140069845697;0.0;0.0;party1_utility.xml;party2_utility.xml
0.148;95;;100rounds;Yes;No;2;0.72167;0.95238;0.02381;0.06766;1.67404;Agent_K2@60;ValueModelAgent@61;0.7216666666666667;0.9523769815965673;0.7216666666666667;0.9523769815965673;0.0;0.0;party1_utility.xml;party2_utility.xml
0.079;95;;100rounds;Yes;No;2;0.78500;0.92857;0.00000;0.00000;1.71357;TheNegotiator@62;ValueModelAgent@63;0.7849999999999999;0.9285654723948509;0.7849999999999999;0.9285654723948509;0.0;0.0;party1_utility.xml;party2_utility.xml
0.989;99;;100rounds;Yes;No;2;0.84833;0.85649;0.00000;0.09595;1.70482;boa-C..Users.Administrator.eclipse.workspace.masProject.bin.group13.Group13_BS-C..Users.Administrator.eclipse.workspace.masProject.bin.group13.Group13_AS-C..Users.Administrator.eclipse.workspace.masProject.bin.group13.Group13_OM_l-C..Users.Administrator.eclipse.workspace.masProject.bin.group13.Group13_OMS_t@64;ValueModelAgent@65;0.8483333333333334;0.8564909885811369;0.8483333333333334;0.8564909885811369;0.8483333333333334;0.0;party1_utility.xml;party2_utility.xml
0.016;15;;100rounds;Yes;No;2;0.64583;0.98352;0.02068;0.14963;1.62936;ConcederNegotiationParty@66;Gahboninho@67;0.6458333333333333;0.9835232614447449;0.6458333333333333;0.9835232614447449;0.6458333333333333;0.0;party1_utility.xml;party2_utility.xml
0.059;84;;100rounds;Yes;No;2;0.65833;1.00000;0.00000;0.14542;1.65833;BoulwareNegotiationParty@68;Gahboninho@69;0.6583333333333333;1.0;0.6583333333333333;1.0;0.6583333333333333;0.0;party1_utility.xml;party2_utility.xml
0.104;101;;100rounds;Yes;No;2;0.78500;0.92857;0.00000;0.00000;1.71357;ValueModelAgent@70;Gahboninho@71;0.7849999999999999;0.9285654723948509;0.7849999999999999;0.9285654723948509;0.0;0.0;party1_utility.xml;party2_utility.xml
0.081;101;;100rounds;Yes;No;2;0.72167;0.97619;0.00000;0.07924;1.69786;Gahboninho@72;Gahboninho@73;0.7216666666666667;0.9761884907982836;0.7216666666666667;0.9761884907982836;0.0;0.0;party1_utility.xml;party2_utility.xml
2.108;100;;100rounds;Yes;No;2;0.65833;1.00000;0.00000;0.14542;1.65833;BRAMAgent@74;Gahboninho@75;0.6583333333333333;1.0;0.6583333333333333;1.0;0.0;0.0;party1_utility.xml;party2_utility.xml
0.079;101;;100rounds;No;No;1;0.00000;0.00000;1.03604;1.21592;0.00000;KLH@76;Gahboninho@77;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
1.283;100;;100rounds;Yes;No;2;0.65833;1.00000;0.00000;0.14542;1.65833;NiceTitForTat@78;Gahboninho@79;0.6583333333333333;1.0;0.6583333333333333;1.0;0.0;0.0;party1_utility.xml;party2_utility.xml
1.364;92;;100rounds;Yes;No;2;0.72167;0.97619;0.00000;0.07924;1.69786;IAMhaggler2011@80;Gahboninho@81;0.7216666666666667;0.9761884907982836;0.7216666666666667;0.9761884907982836;0.0;0.0;party1_utility.xml;party2_utility.xml
0.145;101;;100rounds;No;No;1;0.00000;0.00000;1.03604;1.21592;0.00000;Agent_K2@82;Gahboninho@83;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
0.081;100;;100rounds;Yes;No;2;0.65833;1.00000;0.00000;0.14542;1.65833;TheNegotiator@84;Gahboninho@85;0.6583333333333333;1.0;0.6583333333333333;1.0;0.0;0.0;party1_utility.xml;party2_utility.xml
0.935;100;;100rounds;Yes;No;2;0.65833;1.00000;0.00000;0.14542;1.65833;boa-C..Users.Administrator.eclipse.workspace.masProject.bin.group13.Group13_BS-C..Users.Administrator.eclipse.workspace.masProject.bin.group13.Group13_AS-C..Users.Administrator.eclipse.workspace.masProject.bin.group13.Group13_OM_l-C..Users.Administrator.eclipse.workspace.masProject.bin.group13.Group13_OMS_t@86;Gahboninho@87;0.6583333333333333;1.0;0.6583333333333333;1.0;0.6583333333333333;0.0;party1_utility.xml;party2_utility.xml
2.044;15;;100rounds;Yes;No;2;0.65833;1.00000;0.00000;0.14542;1.65833;ConcederNegotiationParty@88;BRAMAgent@89;0.6583333333333333;1.0;0.6583333333333333;1.0;0.6583333333333333;0.0;party1_utility.xml;party2_utility.xml
2.100;82;;100rounds;Yes;No;2;0.72167;0.97619;0.00000;0.07924;1.69786;BoulwareNegotiationParty@90;BRAMAgent@91;0.7216666666666667;0.9761884907982836;0.7216666666666667;0.9761884907982836;0.7216666666666667;0.0;party1_utility.xml;party2_utility.xml
2.123;100;;100rounds;Yes;No;2;0.69002;0.87833;0.00608;0.25616;1.56835;ValueModelAgent@92;BRAMAgent@93;0.8783333333333334;0.6900190691355816;0.8783333333333334;0.6900190691355816;0.0;0.0;party1_utility.xml;party2_utility.xml
2.112;101;;100rounds;Yes;No;2;0.78500;0.92857;0.00000;0.00000;1.71357;Gahboninho@94;BRAMAgent@95;0.7849999999999999;0.9285654723948509;0.7849999999999999;0.9285654723948509;0.0;0.0;party1_utility.xml;party2_utility.xml
4.144;100;;100rounds;Yes;No;2;0.65833;1.00000;0.00000;0.14542;1.65833;BRAMAgent@96;BRAMAgent@97;0.6583333333333333;1.0;0.6583333333333333;1.0;0.0;0.0;party1_utility.xml;party2_utility.xml
2.111;100;;100rounds;Yes;No;2;0.66621;0.94167;0.00000;0.30558;1.60787;KLH@98;BRAMAgent@99;0.9416666666666667;0.6662075599338653;0.9416666666666667;0.6662075599338653;0.0;0.0;party1_utility.xml;party2_utility.xml
3.472;100;;100rounds;Yes;No;2;0.65833;0.94015;0.05985;0.12720;1.59848;NiceTitForTat@100;BRAMAgent@101;0.6583333333333334;0.9401512488914268;0.6583333333333334;0.9401512488914268;0.0;0.0;party1_utility.xml;party2_utility.xml
3.350;87;;100rounds;Yes;No;2;0.78500;0.92857;0.00000;0.00000;1.71357;IAMhaggler2011@102;BRAMAgent@103;0.7849999999999999;0.9285654723948509;0.7849999999999999;0.9285654723948509;0.0;0.0;party1_utility.xml;party2_utility.xml
2.236;87;;100rounds;Yes;No;2;0.78500;0.92857;0.00000;0.00000;1.71357;Agent_K2@104;BRAMAgent@105;0.7849999999999999;0.9285654723948509;0.7849999999999999;0.9285654723948509;0.0;0.0;party1_utility.xml;party2_utility.xml
2.103;90;;100rounds;Yes;No;2;0.83583;0.84001;0.02068;0.10210;1.67585;TheNegotiator@106;BRAMAgent@107;0.8358333333333332;0.8400142500258816;0.8358333333333332;0.8400142500258816;0.0;0.0;party1_utility.xml;party2_utility.xml
2.972;94;;100rounds;Yes;No;2;0.84833;0.85649;0.00000;0.09595;1.70482;boa-C..Users.Administrator.eclipse.workspace.masProject.bin.group13.Group13_BS-C..Users.Administrator.eclipse.workspace.masProject.bin.group13.Group13_AS-C..Users.Administrator.eclipse.workspace.masProject.bin.group13.Group13_OM_l-C..Users.Administrator.eclipse.workspace.masProject.bin.group13.Group13_OMS_t@108;BRAMAgent@109;0.8483333333333334;0.8564909885811369;0.8483333333333334;0.8564909885811369;0.8483333333333334;0.0;party1_utility.xml;party2_utility.xml
0.012;14;;100rounds;Yes;No;2;0.65833;1.00000;0.00000;0.14542;1.65833;ConcederNegotiationParty@110;KLH@111;0.6583333333333333;1.0;0.6583333333333333;1.0;0.6583333333333333;0.0;party1_utility.xml;party2_utility.xml
0.060;82;;100rounds;Yes;No;2;0.72167;0.97619;0.00000;0.07924;1.69786;BoulwareNegotiationParty@112;KLH@113;0.7216666666666667;0.9761884907982836;0.7216666666666667;0.9761884907982836;0.7216666666666667;0.0;party1_utility.xml;party2_utility.xml
0.103;101;;100rounds;No;No;1;0.00000;0.00000;1.03604;1.21592;0.00000;ValueModelAgent@114;KLH@115;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
0.085;101;;100rounds;Yes;No;2;0.78500;0.92857;0.00000;0.00000;1.71357;Gahboninho@116;KLH@117;0.7849999999999999;0.9285654723948509;0.7849999999999999;0.9285654723948509;0.0;0.0;party1_utility.xml;party2_utility.xml
2.108;100;;100rounds;Yes;No;2;0.78500;0.92857;0.00000;0.00000;1.71357;BRAMAgent@118;KLH@119;0.7849999999999999;0.9285654723948509;0.7849999999999999;0.9285654723948509;0.0;0.0;party1_utility.xml;party2_utility.xml
0.081;101;;100rounds;No;No;1;0.00000;0.00000;1.03604;1.21592;0.00000;KLH@120;KLH@121;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
1.458;100;;100rounds;Yes;No;2;0.65833;0.94015;0.05985;0.12720;1.59848;NiceTitForTat@122;KLH@123;0.6583333333333334;0.9401512488914268;0.6583333333333334;0.9401512488914268;0.0;0.0;party1_utility.xml;party2_utility.xml
1.466;99;;100rounds;Yes;No;2;0.72167;0.92793;0.04826;0.06334;1.64959;IAMhaggler2011@124;KLH@125;0.7216666666666667;0.9279255161862858;0.7216666666666667;0.9279255161862858;0.0;0.0;party1_utility.xml;party2_utility.xml
0.149;101;;100rounds;No;No;1;0.00000;0.00000;1.03604;1.21592;0.00000;Agent_K2@126;KLH@127;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
0.084;100;;100rounds;Yes;No;2;0.78500;0.92857;0.00000;0.00000;1.71357;TheNegotiator@128;KLH@129;0.7849999999999999;0.9285654723948509;0.7849999999999999;0.9285654723948509;0.0;0.0;party1_utility.xml;party2_utility.xml
1.006;100;;100rounds;Yes;No;2;0.78500;0.92857;0.00000;0.00000;1.71357;boa-C..Users.Administrator.eclipse.workspace.masProject.bin.group13.Group13_BS-C..Users.Administrator.eclipse.workspace.masProject.bin.group13.Group13_AS-C..Users.Administrator.eclipse.workspace.masProject.bin.group13.Group13_OM_l-C..Users.Administrator.eclipse.workspace.masProject.bin.group13.Group13_OMS_t@130;KLH@131;0.7849999999999999;0.9285654723948509;0.7849999999999999;0.9285654723948509;0.7849999999999999;0.0;party1_utility.xml;party2_utility.xml
0.117;8;;100rounds;Yes;No;2;0.77250;0.86383;0.04218;0.06594;1.63633;ConcederNegotiationParty@132;NiceTitForTat@133;0.7725;0.863825759227598;0.7725;0.863825759227598;0.7725;0.0;party1_utility.xml;party2_utility.xml
